,Name,Year,Owner_Type,Seats,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Price
697,Suzuki Swift Dzire VXI,2015,First,5,19000.0,Petrol,Manual,20.85,1197.0,83.14,5.25
698,Skoda Yeti Elegance 4X2,2016,First,5,84000.0,Diesel,Manual,17.72,1968.0,108.5,11.0
699,Ford EcoSport 1.5 Ti VCT AT Titanium,2018,First,5,37630.0,Petrol,Automatic,15.63,1499.0,110.4,9.1
700,Hyundai i20 1.2 Magna,2010,First,5,67714.0,Petrol,Manual,18.5,1197.0,80.0,3.25
701,Suzuki S Cross DDiS 200 Sigma Option,2017,First,5,32000.0,Diesel,Manual,15.0,1248.0,88.5,8.5
702,Hyundai Verna Transform VTVT,2010,First,5,51000.0,Petrol,Manual,16.2,1599.0,103.2,3.1
703,BMW 3 Series 320d Luxury Line,2015,First,5,58390.0,Diesel,Automatic,18.88,1995.0,184.0,19.86
704,Hyundai Grand i10 1.2 CRDi Magna,2017,First,5,14000.0,Diesel,Manual,24.0,1186.0,73.97,4.9
705,Honda City i-VTEC V,2014,Second,5,55818.0,Petrol,Manual,17.4,1497.0,117.3,5.7
706,Suzuki Swift VDI BSIV,2012,First,5,52241.0,Diesel,Manual,25.2,1248.0,74.0,2.9
707,Suzuki Baleno Zeta 1.3,2018,First,5,25433.0,Diesel,Manual,27.39,1248.0,74.0,7.83
708,Tata Safari Storme 2012-2015 LX,2015,First,7,40611.0,Diesel,Manual,14.0,2179.0,138.1,8.15
709,Hyundai Accent GLS,2008,Second,5,72000.0,Petrol,Manual,13.2,1495.0,94.0,2.0
710,Suzuki Swift LDI SP Limited Edition,2016,First,5,54631.0,Diesel,Manual,25.2,1248.0,74.0,6.25
711,Tata Nano XTA,2016,First,4,24941.0,Petrol,Automatic,21.9,624.0,37.48,3.19
712,Suzuki Ertiga VDI,2017,First,7,63939.0,Diesel,Manual,25.47,1248.0,88.5,7.75
713,Suzuki Celerio VXI AMT,2014,Second,5,35214.0,Petrol,Automatic,23.1,998.0,67.04,3.2
714,Suzuki Swift VDI BSIV,2015,First,5,63000.0,Diesel,Manual,25.2,1248.0,74.0,4.9
715,Volkswagen Vento Petrol Highline,2012,First,5,121377.0,Petrol,Manual,15.04,1598.0,103.6,3.8
716,Volkswagen Jetta 2007-2011 1.9 Highline TDI,2009,First,5,100970.0,Diesel,Automatic,15.5,1896.0,105.0,4.0
717,Mini Cooper 5 DOOR D,2014,Second,5,60000.0,Diesel,Automatic,20.7,1496.0,113.98,23.5
718,Tata Indica V2 DLS,2008,First,5,77650.0,Diesel,Manual,17.2,1396.0,53.5,1.15
719,Honda City i-VTEC CVT VX,2015,First,5,18955.0,Petrol,Automatic,18.0,1497.0,117.3,10.65
720,Jaguar XF 2.2 Litre Luxury,2016,First,5,47877.0,Diesel,Automatic,16.36,2179.0,187.7,35.68
721,Mercedes-Benz E-Class 2015-2017 E250 Edition E,2017,First,5,43368.0,Diesel,Automatic,15.0,2143.0,204.0,31.94
722,Chevrolet Cruze LTZ,2011,Third,5,73000.0,Diesel,Manual,18.3,1991.0,147.9,4.2
723,Mahindra XUV500 W8 2WD,2015,First,7,72007.0,Diesel,Manual,15.1,2179.0,140.0,9.9
724,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2014,First,5,56778.0,Petrol,Automatic,11.74,1796.0,186.0,15.46
725,Honda Jazz VX,2018,First,5,20024.0,Petrol,Manual,18.2,1199.0,88.7,8.46
726,Toyota Etios G,2013,First,5,42103.0,Petrol,Manual,16.78,1496.0,88.73,3.25
727,Suzuki Alto LXi BSIII,2012,First,5,67147.0,Petrol,Manual,19.7,796.0,46.3,2.6
728,Suzuki Swift VXI BSIV,2016,First,5,37806.0,Petrol,Manual,20.4,1197.0,81.8,5.2
729,Suzuki A-Star Vxi,2009,Third,5,85000.0,Petrol,Manual,19.0,998.0,66.1,1.8
730,Tata Nano Lx BSIV,2011,First,4,35000.0,Petrol,Manual,25.4,624.0,37.48,1.6
731,Ford Figo Titanium Diesel,2015,First,5,72035.0,Diesel,Manual,25.5,1498.0,99.0,2.5
732,Fiat Linea Emotion,2011,First,5,48500.0,Petrol,Manual,16.0,1368.0,90.0,2.5
733,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,First,5,28854.0,Petrol,Manual,18.16,1196.0,86.8,6.7
734,Suzuki Baleno LXI,2005,First,5,92450.0,Petrol,Manual,15.4,1590.0,94.0,1.2
735,BMW 3 Series 320d Luxury Line,2016,First,5,14351.0,Diesel,Automatic,18.88,1995.0,184.0,35.55
736,Chevrolet Cruze LTZ,2017,First,5,51087.0,Diesel,Manual,17.9,1998.0,163.7,7.75
737,Mahindra Scorpio 2.6 DX,2005,First,8,50000.0,Diesel,Manual,12.7,2609.0,116.6,1.94
738,Tata Indica V2 eLS,2016,First,5,73000.0,Diesel,Manual,25.0,1396.0,69.0,2.2
739,Chevrolet Cruze LTZ AT,2011,First,4,60000.0,Diesel,Automatic,18.1,1991.0,147.9,3.8
740,Toyota Innova 2.5 V Diesel 8-seater,2016,First,8,50000.0,Diesel,Manual,12.8,2494.0,102.0,15.65
741,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,First,5,36797.0,Diesel,Automatic,19.27,2143.0,167.62,39.47
742,Suzuki Ritz VXi,2011,Second,5,50000.0,Petrol,Manual,18.5,1197.0,85.8,1.5
743,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,2013,First,8,94000.0,Diesel,Manual,12.8,2494.0,102.0,8.85
744,Toyota Fortuner 4x4 MT,2013,Second,7,74000.0,Diesel,Manual,12.55,2982.0,168.5,17.9
745,Hyundai i10 Sportz AT,2014,Second,5,41016.0,Petrol,Automatic,16.95,1197.0,78.9,5.08
746,Hyundai Verna 1.6 SX,2012,First,5,67000.0,Diesel,Manual,22.32,1582.0,126.32,6.25
747,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,First,5,76927.0,Diesel,Automatic,15.73,1968.0,174.33,22.75
748,Chevrolet Beat LS,2010,First,5,17088.0,Petrol,Manual,18.6,1199.0,79.4,1.46
749,Ford Fiesta 1.4 Duratorq ZXI,2007,Second,5,112808.0,Diesel,Manual,17.8,1399.0,68.0,2.05
750,Ford Figo Diesel EXI,2014,First,5,74980.0,Diesel,Manual,20.0,1399.0,68.0,4.08
751,Suzuki Celerio VXI AT,2014,First,5,44600.0,Petrol,Automatic,23.1,998.0,67.04,4.55
752,Mercedes-Benz A Class A180 CDI,2013,First,5,37000.0,Diesel,Automatic,20.0,2143.0,107.3,14.0
753,Hyundai Creta 1.6 SX,2016,First,5,21000.0,Petrol,Manual,15.8,1591.0,121.3,10.9
754,Suzuki Wagon R VXI BS IV,2010,First,5,81245.0,Petrol,Manual,18.9,998.0,67.1,2.45
755,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,2013,First,5,70000.0,Diesel,Automatic,10.0,2148.0,170.0,15.8
756,Ford EcoSport 1.5 Ti VCT MT Titanium BE,2017,First,5,4018.0,Petrol,Manual,18.88,1499.0,110.4,8.25
757,Renault Koleos 2.0 Diesel,2013,Second,5,70000.0,Diesel,Automatic,13.73,1995.0,148.0,8.5
758,Mahindra XUV500 W10 2WD,2016,First,7,56532.0,Diesel,Manual,16.0,2179.0,140.0,15.54
759,Suzuki Omni E 8 Str STD,2013,First,8,26875.0,Petrol,Manual,16.8,796.0,34.2,2.35
760,Suzuki Wagon R VXI,2015,First,5,72599.0,Petrol,Manual,22.5,998.0,67.04,4.32
761,Ford Endeavour XLT TDCi 4X2,2008,Second,7,205000.0,Diesel,Manual,13.1,2499.0,141.0,3.9
762,Hyundai Verna 1.6 SX,2011,Second,5,98000.0,Diesel,Manual,22.32,1582.0,126.32,5.2
763,Hyundai i20 Magna 1.2,2018,First,5,19500.0,Petrol,Manual,18.6,1197.0,81.83,5.85
764,Suzuki Ertiga ZXI,2013,Second,7,68000.0,Petrol,Manual,16.02,1373.0,93.7,6.25
765,Mahindra XUV500 W9 AT,2019,First,7,19654.0,Diesel,Automatic,14.0,2179.0,155.0,17.63
766,Suzuki SX4 S Cross DDiS 200 Zeta,2017,First,5,26000.0,Diesel,Manual,23.65,1248.0,88.5,9.75
767,Mercedes-Benz SLK-Class SLK 350,2015,First,2,10000.0,Petrol,Automatic,18.1,3498.0,306.0,55.0
768,Volkswagen Polo Diesel Comfortline 1.2L,2011,First,5,75020.0,Diesel,Manual,22.07,1199.0,73.9,4.1
769,Toyota Fortuner 4x4 MT,2011,First,7,157000.0,Diesel,Manual,12.55,2982.0,168.5,11.99
770,Mahindra XUV500 W10 2WD,2017,First,7,43773.0,Diesel,Manual,16.0,2179.0,140.0,13.54
771,Mercedes-Benz GLE 250d,2016,First,5,21000.0,Diesel,Automatic,17.9,2143.0,201.15,56.0
772,Honda Jazz 1.2 VX i VTEC,2016,First,5,23280.0,Petrol,Manual,18.7,1199.0,88.7,6.5
773,Suzuki Swift Dzire VDI,2013,First,5,88000.0,Diesel,Manual,23.4,1248.0,74.0,4.75
774,Hyundai Verna 1.6 SX VTVT,2014,First,5,67000.0,Petrol,Manual,17.01,1591.0,121.3,5.6
775,Ford Endeavour 3.2 Titanium AT 4X4,2017,First,7,59636.0,Diesel,Automatic,10.91,3198.0,197.0,29.2
776,Hyundai i20 1.2 Asta Option,2018,First,5,11000.0,Petrol,Manual,18.6,1197.0,81.83,6.35
777,Honda City 1.5 V MT Sunroof,2013,First,5,60669.0,Petrol,Manual,16.8,1497.0,116.3,4.95
778,Honda Amaze VX Diesel,2018,First,5,12000.0,Diesel,Manual,27.4,1498.0,98.6,8.5
779,Hyundai Verna 1.6 SX VTVT (O),2013,First,5,35000.0,Petrol,Manual,17.1,1591.0,121.3,4.5
780,Honda Mobilio S i DTEC,2015,First,7,65000.0,Diesel,Manual,24.2,1498.0,98.6,5.5
781,Suzuki Ertiga ZDI,2013,First,7,39929.0,Diesel,Manual,20.77,1248.0,88.8,6.56
782,Suzuki Alto K10 LXI,2014,First,5,49000.0,Petrol,Manual,24.07,998.0,67.1,2.3
783,Toyota Qualis FS B2,2004,Second,10,77757.0,Diesel,Manual,13.1,2446.0,75.0,3.5
784,Hyundai i10 Sportz,2016,First,5,21456.0,Petrol,Manual,20.36,1197.0,78.9,4.55
785,Skoda Laura 1.9 TDI AT Ambiente,2009,Second,5,74000.0,Diesel,Automatic,17.0,1896.0,105.0,7.75
786,Hyundai i20 Asta Option 1.2,2015,Second,5,37000.0,Petrol,Manual,18.6,1197.0,81.83,5.25
787,BMW 5 Series 2003-2012 530d Highline,2013,First,5,108640.0,Diesel,Automatic,11.5,2993.0,235.0,23.29
788,BMW 3 Series 320d M Sport,2016,First,5,38000.0,Diesel,Automatic,22.69,1995.0,190.0,23.99
789,Chevrolet Aveo 1.4 LT ABS BSIV,2010,First,5,80000.0,Petrol,Manual,14.49,1399.0,92.7,1.79
790,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2011,Second,5,47000.0,Diesel,Automatic,14.21,2143.0,203.0,13.9
791,Audi A6 2011-2015 2.0 TDI Premium Plus,2013,First,5,31000.0,Diesel,Automatic,17.68,1968.0,174.33,18.95
792,Suzuki Wagon R LXI BS IV,2014,First,5,40000.0,Petrol,Manual,20.51,998.0,67.04,2.49
793,Renault KWID RXT,2016,First,5,4152.0,Petrol,Manual,25.17,799.0,53.3,3.15
794,Volkswagen Ameo 1.5 TDI Highline,2017,First,5,51000.0,Diesel,Manual,21.66,1498.0,108.62,6.45
795,Volkswagen Polo Diesel Comfortline 1.2L,2013,First,5,55000.0,Diesel,Manual,22.07,1199.0,73.9,4.25
796,Suzuki Alto 800 LXI,2014,First,5,58500.0,Petrol,Manual,22.74,796.0,47.3,2.75
797,Hyundai i20 Asta Option 1.2,2017,First,5,58620.0,Petrol,Manual,18.6,1197.0,81.83,7.14
798,Hyundai i20 1.2 Sportz,2012,Third,5,71172.0,Petrol,Manual,17.0,1197.0,80.0,3.5
799,Hyundai i20 1.4 Asta,2017,First,5,12000.0,Diesel,Manual,22.54,1396.0,88.73,7.3
800,Suzuki Wagon R LXI Optional,2014,First,5,25000.0,Petrol,Manual,20.51,998.0,67.04,2.75
801,Hyundai i20 1.4 Asta Option,2017,Second,5,43000.0,Diesel,Manual,22.54,1396.0,88.73,8.2
802,Volkswagen Polo GT TSI,2015,First,5,57022.0,Petrol,Automatic,17.21,1197.0,103.6,6.51
803,Ford Figo Diesel Titanium,2015,First,5,92000.0,Diesel,Manual,20.0,1399.0,68.05,4.25
804,Suzuki Swift ZXI,2014,Second,5,33372.0,Petrol,Manual,18.6,1197.0,85.8,6.21
805,Hyundai Grand i10 CRDi Magna,2016,First,5,52625.0,Diesel,Manual,24.0,1120.0,70.0,4.58
806,Mahindra Xylo H4,2016,First,7,215000.0,Diesel,Manual,14.02,2179.0,118.3,7.5
807,Hyundai i10 Magna 1.1,2014,First,5,60138.0,Petrol,Manual,19.81,1086.0,68.05,4.09
808,Skoda Octavia Elegance 2.0 TDI AT,2014,First,5,84000.0,Diesel,Automatic,19.3,1968.0,141.0,10.75
809,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2014,First,7,47000.0,Diesel,Automatic,15.97,2993.0,258.0,41.5
810,Suzuki Celerio VXI AT,2014,First,5,33450.0,Petrol,Automatic,23.1,998.0,67.04,4.4
811,Volkswagen Vento Diesel Comfortline,2013,Second,5,125000.0,Diesel,Manual,20.54,1598.0,103.6,6.25
812,BMW 3 Series 320d Highline,2011,Second,5,99606.0,Diesel,Automatic,16.07,1995.0,181.0,10.5
813,Suzuki Ertiga ZDI,2014,First,7,64000.0,Diesel,Manual,20.77,1248.0,88.8,7.25
814,Ford Figo Diesel ZXI,2013,First,5,51000.0,Diesel,Manual,20.0,1399.0,68.05,3.2
815,Volkswagen Polo 1.2 MPI Highline,2014,First,5,57000.0,Petrol,Manual,16.47,1198.0,74.0,3.95
816,Audi A6 3.0 TDI quattro,2009,Second,5,48040.0,Diesel,Automatic,16.77,2967.0,241.38,12.07
817,Toyota Innova Crysta 2.4 ZX MT,2017,First,7,43200.0,Diesel,Manual,13.68,2393.0,147.8,18.6
818,Hyundai Verna 1.6 CRDi EX AT,2013,First,5,66000.0,Diesel,Automatic,22.32,1582.0,126.3,5.7
819,Hyundai Santro Xing GL Plus,2013,First,5,31000.0,Petrol,Manual,17.92,1086.0,62.1,1.75
820,Audi A4 2.0 TDI,2011,Second,5,46000.0,Diesel,Automatic,16.55,1968.0,147.51,10.99
821,Audi A4 2.0 TDI,2012,First,5,47346.0,Diesel,Automatic,16.55,1968.0,147.51,14.5
822,Skoda Laura 1.9 TDI MT Ambiente,2009,First,5,100000.0,Diesel,Manual,17.0,1896.0,105.0,3.11
823,Honda CR-V 2.0L 2WD AT,2015,First,5,63856.0,Petrol,Automatic,13.7,1997.0,153.86,13.96
824,Hyundai Verna 1.6 SX CRDi (O),2015,First,5,72996.0,Diesel,Manual,22.32,1582.0,126.32,7.11
825,Honda Mobilio RS i DTEC,2014,First,7,23000.0,Diesel,Manual,24.5,1498.0,98.6,6.9
826,Hyundai i20 1.2 Asta Option,2018,First,5,15985.0,Petrol,Manual,18.6,1197.0,81.83,7.77
827,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,Second,8,98000.0,Diesel,Manual,12.8,2494.0,102.0,5.5
828,Hyundai i20 Magna 1.2,2014,First,5,70089.0,Petrol,Manual,18.6,1197.0,81.83,5.35
829,Mahindra Bolero VLX BS IV,2011,Second,7,99000.0,Diesel,Manual,13.6,2523.0,63.0,4.5
830,Volkswagen Vento 1.5 TDI Comfortline,2014,First,5,72000.0,Diesel,Manual,20.34,1498.0,103.2,4.75
831,Jaguar XF 2.2 Litre Luxury,2015,First,5,44194.0,Diesel,Automatic,16.36,2179.0,187.7,32.8
832,Suzuki Zen LXi - BS III,2005,First,5,102000.0,Petrol,Manual,17.3,993.0,60.0,0.7
833,Mercedes-Benz E-Class Facelift,2018,First,5,56652.0,Diesel,Automatic,13.0,2987.0,258.0,50.29
834,Toyota Fortuner 3.0 Diesel,2010,Second,7,41650.0,Diesel,Manual,11.5,2982.0,171.0,10.99
835,Hyundai Grand i10 AT Asta,2015,First,5,61717.0,Petrol,Automatic,18.9,1197.0,82.0,5.57
836,Hyundai Xcent 1.2 CRDi S,2018,First,5,25302.0,Diesel,Manual,25.4,1186.0,73.97,5.9
837,Hyundai Creta 1.6 VTVT S,2016,First,5,47016.0,Petrol,Manual,15.29,1591.0,121.3,9.43
838,Hyundai i10 Sportz,2010,First,5,69000.0,Petrol,Manual,20.36,1197.0,78.9,2.9
839,Honda Brio S MT,2016,First,5,32700.0,Petrol,Manual,19.4,1198.0,86.8,3.68
840,Toyota Fortuner 4x2 AT,2015,First,7,101337.0,Diesel,Automatic,12.55,2982.0,168.5,21.67
841,Audi A4 2.0 TDI Multitronic,2011,First,5,59000.0,Diesel,Automatic,16.55,1968.0,140.0,12.5
842,Toyota Innova Crysta 2.8 ZX AT,2018,First,7,41736.0,Diesel,Automatic,11.36,2755.0,171.5,19.92
843,Honda City i DTEC VX,2014,First,5,71649.0,Diesel,Manual,25.1,1498.0,98.6,6.75
844,Honda City i DTEC VX,2015,First,5,80606.0,Diesel,Manual,25.1,1498.0,98.6,6.96
845,Renault KWID 1.0 RXT Optional,2017,First,5,63262.0,Petrol,Manual,21.7,999.0,67.0,3.25
846,Suzuki Swift DDiS ZDI Plus,2018,First,5,5456.0,Diesel,Manual,28.4,1248.0,74.0,8.65
847,Suzuki Celerio VXI Optional AMT,2017,First,5,7500.0,Petrol,Automatic,23.1,998.0,67.04,5.0
848,Mahindra XUV500 W8 2WD,2011,First,7,66000.0,Diesel,Manual,15.1,2179.0,140.0,5.5
849,Hyundai i10 Magna,2010,Second,5,66770.0,Petrol,Manual,20.36,1197.0,78.9,2.6
850,Hyundai i10 Magna 1.1,2014,First,5,58472.0,Petrol,Manual,19.81,1086.0,68.05,3.41
851,Suzuki Dzire VXI,2011,First,5,46687.0,Petrol,Manual,22.0,1197.0,81.8,2.7
852,Suzuki Grand Vitara AT,2008,Fourth & Above,5,77000.0,Petrol,Automatic,9.7,1995.0,163.5,5.5
853,Audi TT 40 TFSI,2012,First,4,7000.0,Petrol,Automatic,14.33,1984.0,226.6,35.0
854,Mercedes-Benz New C-Class C 200 CGI,2011,Second,5,48000.0,Petrol,Automatic,14.74,1991.0,184.0,9.75
855,Nissan Sunny 2011-2014 Diesel XV,2013,First,5,47000.0,Diesel,Manual,21.64,1461.0,84.8,4.25
856,Suzuki Wagon R LXI,2015,First,5,51530.0,Petrol,Manual,18.9,998.0,67.1,3.2
857,Suzuki Swift Dzire ZDI,2014,Second,5,25789.0,Diesel,Manual,23.4,1248.0,74.0,6.85
858,Honda Amaze S i-Dtech,2015,First,5,48000.0,Diesel,Manual,25.8,1498.0,98.6,4.5
859,Suzuki Swift ZDI,2012,First,5,52000.0,Diesel,Manual,28.4,1248.0,74.0,3.55
860,Mahindra Scorpio LX 2.6 Turbo,2008,First,7,131000.0,Diesel,Manual,10.5,2609.0,120.0,3.6
861,Mercedes-Benz E-Class E250 CDI Avantgrade,2015,First,5,42076.0,Diesel,Automatic,13.0,2143.0,201.1,21.8
862,Toyota Fortuner 4x2 Manual,2012,Second,7,76000.0,Diesel,Manual,13.0,2982.0,168.5,13.5
863,Datsun redi-GO T Option,2016,First,5,20487.0,Petrol,Manual,22.7,799.0,53.64,2.66
864,Honda City V MT,2010,Second,5,43000.0,Petrol,Manual,16.8,1497.0,116.3,3.75
865,Toyota Camry Hybrid,2018,First,5,17000.0,Petrol,Automatic,19.16,2494.0,158.2,32.0
866,Honda City i DTec V,2016,First,5,60805.0,Diesel,Manual,26.0,1498.0,98.6,8.07
867,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,2012,First,5,58775.0,Diesel,Manual,19.33,1968.0,138.1,5.64
868,Audi A6 2011-2015 2.0 TDI,2013,First,5,70181.0,Diesel,Automatic,17.68,1968.0,174.33,23.99
869,Suzuki Ertiga VDI,2016,First,7,85827.0,Diesel,Manual,20.77,1248.0,88.76,7.5
870,Mercedes-Benz New C-Class C 220 CDI Style,2016,First,5,58205.0,Diesel,Automatic,19.27,2143.0,167.62,27.0
871,Suzuki Swift Dzire Vdi BSIV,2008,Second,5,91000.0,Diesel,Manual,19.3,1248.0,73.9,2.85
872,Renault Duster 110PS Diesel RxZ Pack,2012,First,5,74000.0,Diesel,Manual,19.01,1461.0,108.45,6.35
873,Suzuki Ritz VDi,2010,First,5,79324.0,Diesel,Manual,21.1,1248.0,73.9,3.3
874,Suzuki Swift Dzire VXI,2013,First,5,38623.0,Petrol,Manual,19.1,1197.0,85.8,5.0
875,Suzuki Swift ZDi,2014,First,5,59923.0,Diesel,Manual,22.9,1248.0,74.0,6.46
876,Hyundai EON Sportz,2017,First,5,23360.0,Petrol,Manual,21.1,814.0,55.2,3.75
877,Suzuki Zen VXI BSII,2003,Third,5,61495.0,Petrol,Manual,17.3,993.0,60.0,1.52
878,Suzuki Eeco 7 Seater Standard,2012,First,7,56661.0,Petrol,Manual,15.1,1196.0,73.0,3.61
879,Audi Q5 30 TDI quattro Premium,2017,First,5,40318.0,Diesel,Automatic,14.16,1968.0,174.3,43.74
880,Audi Q3 2.0 TDI,2014,First,5,60000.0,Diesel,Automatic,15.73,1968.0,174.33,20.0
881,Suzuki Swift Dzire VDi,2010,First,5,130000.0,Diesel,Manual,19.3,1248.0,73.9,3.65
882,Tata Sumo DX,2013,First,10,20000.0,Diesel,Manual,14.07,1978.0,83.1,5.25
883,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,2016,First,7,76000.0,Diesel,Automatic,15.97,2993.0,258.0,58.0
884,Honda City i-VTEC CVT VX,2015,First,5,30000.0,Petrol,Automatic,18.0,1497.0,117.3,8.65
885,Tata Indigo eCS eLX BS IV,2015,First,5,150000.0,Diesel,Manual,25.0,1396.0,69.01,2.5
886,Volkswagen Vento TSI,2014,First,5,28000.0,Petrol,Automatic,16.93,1197.0,103.6,7.75
887,Suzuki Celerio VXI,2015,First,5,74000.0,Petrol,Manual,23.1,998.0,67.04,4.15
888,Toyota Fortuner 3.0 Diesel,2011,First,7,75000.0,Diesel,Manual,11.5,2982.0,171.0,10.85
889,Mitsubishi Outlander 2.4,2010,Second,5,76000.0,Petrol,Automatic,11.3,2360.0,170.0,5.53
890,Volkswagen Jetta 2007-2011 1.9 Highline TDI,2014,First,5,64889.0,Diesel,Automatic,15.5,1896.0,105.0,11.5
891,Hyundai Creta 1.6 CRDi SX,2015,First,5,43000.0,Diesel,Manual,19.67,1582.0,126.2,9.25
892,Skoda Fabia 1.2 MPI Ambiente Petrol,2011,First,5,47490.0,Petrol,Manual,17.5,1198.0,75.0,2.29
893,Ford EcoSport 1.5 TDCi Titanium,2015,First,5,80000.0,Diesel,Manual,22.77,1498.0,98.59,7.0
894,Suzuki Zen Estilo 1.1 LXI BSIII,2007,Second,5,60000.0,Petrol,Manual,18.2,1061.0,64.0,1.65
895,Suzuki Ciaz 1.4 Delta,2017,First,5,6006.0,Petrol,Manual,20.73,1373.0,91.1,8.25
896,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,2011,First,5,71703.0,Petrol,Automatic,14.74,1991.0,181.03,9.14
897,Honda Amaze SX i-VTEC,2016,First,5,33000.0,Petrol,Manual,17.8,1198.0,86.7,6.5
898,Renault Duster 85PS Diesel RxL,2015,First,5,91000.0,Diesel,Manual,19.87,1461.0,83.8,5.75
899,Volkswagen Polo Petrol Highline 1.2L,2011,Second,5,43000.0,Petrol,Manual,16.47,1198.0,73.9,2.1
900,Hyundai Creta 1.6 SX Plus Diesel,2017,First,5,63770.0,Diesel,Manual,19.67,1582.0,126.2,13.55
901,Jaguar XF Diesel,2012,First,5,43510.0,Diesel,Automatic,14.74,2993.0,270.9,20.5
902,Jeep Compass 2.0 Limited 4X4,2017,First,5,52000.0,Diesel,Manual,16.3,1956.0,170.0,20.0
903,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,First,5,31427.0,Diesel,Automatic,15.68,1999.0,177.0,59.72
904,Suzuki Baleno Alpha Diesel,2016,First,5,29000.0,Diesel,Manual,27.39,1248.0,74.0,6.5
905,Suzuki Ciaz ZDi SHVS,2016,First,5,56000.0,Diesel,Manual,28.09,1248.0,88.5,7.5
906,Suzuki SX4 Vxi BSIII,2007,Second,5,76000.0,Petrol,Manual,15.0,1586.0,104.68,2.15
907,Hyundai Elantra CRDi SX,2015,First,5,53615.0,Diesel,Manual,22.7,1582.0,126.24,8.44
908,Mitsubishi Pajero Sport 4X4,2013,First,7,132000.0,Diesel,Manual,13.5,2477.0,175.56,12.49
909,Volkswagen Ameo 1.2 MPI Comfortline,2017,First,5,14800.0,Petrol,Manual,17.0,1198.0,73.75,5.48
910,Suzuki Ritz VXi,2013,First,5,35433.0,Petrol,Manual,18.5,1197.0,85.8,4.2
911,Hyundai Verna CRDi SX,2013,First,5,82966.0,Diesel,Manual,16.8,1493.0,110.0,7.2
912,Suzuki Swift Dzire Tour LDI,2014,First,5,96000.0,Diesel,Manual,23.4,1248.0,74.0,4.8
913,Mahindra KUV 100 mFALCON D75 K6,2017,First,6,39528.0,Diesel,Manual,25.32,1198.0,77.0,5.83
914,Toyota Innova Crysta 2.4 ZX MT,2018,First,7,92056.0,Diesel,Manual,13.68,2393.0,147.8,18.39
915,Suzuki Baleno Delta 1.2,2016,First,5,14930.0,Petrol,Manual,21.4,1197.0,83.1,5.85
916,Honda Jazz VX Diesel,2016,First,5,38000.0,Diesel,Manual,27.3,1498.0,98.6,6.21
917,Hyundai i20 1.2 Asta,2013,First,5,71000.0,Petrol,Manual,17.0,1197.0,80.0,3.65
918,Hyundai i20 Sportz Diesel,2012,First,5,71000.0,Diesel,Manual,23.0,1396.0,90.0,3.7
919,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,First,5,50000.0,Diesel,Automatic,19.27,2143.0,167.62,30.0
920,Hyundai Xcent 1.2 Kappa Base,2016,First,5,48163.0,Petrol,Manual,19.1,1197.0,82.0,4.85
921,Hyundai Grand i10 AT Asta,2017,First,5,19168.0,Petrol,Automatic,18.9,1197.0,82.0,6.93
922,Suzuki Alto 800 VXI,2016,First,5,26000.0,Petrol,Manual,22.74,796.0,47.3,2.6
923,Chevrolet Sail Hatchback 1.2 LS,2014,First,5,37400.0,Petrol,Manual,18.2,1199.0,82.5,1.89
924,Mercedes-Benz C-Class Progressive C 220d,2018,First,5,8682.0,Diesel,Automatic,0.0,1950.0,194.0,39.5
925,Skoda Superb Elegance 1.8 TSI AT,2012,First,5,95000.0,Petrol,Automatic,13.7,1798.0,157.75,10.0
926,Audi A4 2.0 TDI,2009,First,5,34000.0,Diesel,Automatic,16.55,1968.0,147.51,9.95
927,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2014,Second,8,95000.0,Diesel,Manual,12.8,2494.0,102.0,9.45
928,Mercedes-Benz CLA 200 CDI Sport,2017,First,5,13689.0,Diesel,Automatic,17.9,2143.0,136.0,28.25
929,Hyundai i10 Era,2008,Second,5,84000.0,Petrol,Manual,19.81,1086.0,68.05,1.8
930,Suzuki Swift Dzire VXi,2008,Second,5,47000.0,Petrol,Manual,17.5,1298.0,85.8,1.4
931,Skoda Rapid 1.5 TDI AT Ambition,2015,First,5,60001.0,Diesel,Automatic,21.66,1498.0,103.52,7.25
932,Suzuki Ritz VDi,2012,First,5,96000.0,Diesel,Manual,21.1,1248.0,73.9,3.6
933,Hyundai Accent GLS 1.6,2004,Second,5,47300.0,Petrol,Manual,14.4,1599.0,94.0,1.2
